"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"04/22/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2417,1740,3358,,,,,,,2620,1818,3775,,,,2256,1671,3044
"04/23/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2563,1912,3437,2749,2209,3420,,,,,,,,,,,,
"04/24/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2561,1399,4689,,,,,,,,,,2954,1367,6386,,,
"04/25/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2567,1609,4096,,,,,,,,,,3055,1550,6020,,,
"04/26/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2406,1671,3465,2584,2154,3100,,,,2508,2098,2997,1834,1292,2603,2234,1583,3153
"04/27/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2368,1607,3489,1895,1552,2314,2181,1883,2525,3022,2173,4203,,,,1711,1256,2329
"04/28/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1790,1324,2421,1919,1575,2337,,,,2130,1762,2576,1560,1156,2104,1448,1073,1955
"04/29/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2189,1618,2961,,,,,,,,,,,,,,,
"04/30/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1612,1302,1996,,,,,,,1807,1476,2212,,,,1440,1256,1651
"05/01/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3125,1863,5241,,,,,,,2116,1601,2796,,,,1857,1340,2572
"05/02/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2940,1759,4914,,,,,,,,,,2480,1658,3709,,,
"05/03/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2307,1190,4473,,,,,,,1706,875,3326,,,,1778,1093,2892
"05/04/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1984,1203,3270,,,,,,,2773,1914,4018,1796,1002,3218,1384,1123,1706
"05/05/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1563,1121,2178,,,,,,,,,,1248,1030,1512,,,
"05/06/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3537,2094,5974,3972,2967,5318,,,,,,,3247,1688,6245,,,
"05/07/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3130,1814,5402,,,,,,,,,,2646,1402,4992,,,
"05/08/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2827,1687,4737,,,,,,,,,,,,,2471,1447,4221
"05/09/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2584,1582,4222,,,,,,,2693,2080,3485,,,,2010,1329,3040
"05/10/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2797,1798,4353,,,,,,,,,,2766,1895,4037,,,
"05/11/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2075,1430,3010,,,,,,,2886,2400,3469,2068,1524,2807,1382,1105,1728
"05/12/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2123,1441,3129,,,,,,,2405,1916,3019,2339,1435,3812,,,
"05/13/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2499,1636,3816,2569,2080,3173,,,,,,,,,,,,
"05/14/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3522,2083,5957,,,,,,,,,,2032,1466,2817,,,
