Local time in Nairobi / Wilson (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
10.05.2018 20:00,18,628.6,765.8,94,Wind blowing from the east-southeast,5,,,,Broken clouds (60-90%) 600 m,10.0 and more,17
10.05.2018 19:00,19,628.3,765,88,"Calm, no wind",0,,Light rain,,Broken clouds (60-90%) 600 m,10.0 and more,17
10.05.2018 18:00,21,628.6,764.3,78,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,17
10.05.2018 17:00,21,628.6,764.3,73,Wind blowing from the south,3,,,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,16
10.05.2018 16:00,21,628.6,764.3,73,"Calm, no wind",0,,,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,16
10.05.2018 15:00,21,629.8,765.8,73,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,16
10.05.2018 14:00,21,629.8,765.8,73,Wind blowing from the south-southeast,4,,Light rain,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,16
10.05.2018 13:00,22,630.3,765.8,69,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 690 m,10.0 and more,16
10.05.2018 12:00,20,630.7,767.3,73,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 660 m,10.0 and more,15
10.05.2018 11:00,19,630.2,767.3,78,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 630 m,10.0 and more,15
10.05.2018 10:00,18,629.8,767.3,88,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,16
10.05.2018 09:00,17,628.8,766.6,94,Wind blowing from the south-east,2,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
10.05.2018 08:00,16,628.4,766.6,100,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
