ride_id,travel_date,travel_time,travel_from,car_type,max_capacity,number_of_ticket,date,dayofweek,dayofyear,dayofmonth,year_woy,hour,minute,is_weekend,year,quarter,month
1442,17-10-17,7:15,Migori,Bus,49,1,2017-10-17 07:15:00,1,290,17,201742,7,15,0,2017,4,10
5437,19-11-17,7:12,Migori,Bus,49,1,2017-11-19 07:12:00,6,323,19,201746,7,12,1,2017,4,11
5710,26-11-17,7:05,Keroka,Bus,49,1,2017-11-26 07:05:00,6,330,26,201747,7,5,1,2017,4,11
5777,27-11-17,7:10,Homa Bay,Bus,49,5,2017-11-27 07:10:00,0,331,27,201748,7,10,0,2017,4,11
5778,27-11-17,7:12,Migori,Bus,49,31,2017-11-27 07:12:00,0,331,27,201748,7,12,0,2017,4,11
5781,27-11-17,7:09,Homa Bay,Bus,49,26,2017-11-27 07:09:00,0,331,27,201748,7,9,0,2017,4,11
5784,20-04-18,5:10,Kisii,shuttle,11,1,2018-04-20 05:10:00,4,110,20,201816,5,10,0,2018,2,4
5789,20-04-18,9:50,Kisii,shuttle,11,1,2018-04-20 09:50:00,4,110,20,201816,9,50,0,2018,2,4
5790,20-04-18,7:06,Kisii,Bus,49,2,2018-04-20 07:06:00,4,110,20,201816,7,6,0,2018,2,4
5791,20-04-18,6:00,Kisii,shuttle,11,1,2018-04-20 06:00:00,4,110,20,201816,6,0,0,2018,2,4
5792,20-04-18,5:50,Kisii,shuttle,11,1,2018-04-20 05:50:00,4,110,20,201816,5,50,0,2018,2,4
5793,20-04-18,10:58,Kisii,shuttle,11,1,2018-04-20 10:58:00,4,110,20,201816,10,58,0,2018,2,4
5794,20-04-18,6:50,Kisii,shuttle,11,2,2018-04-20 06:50:00,4,110,20,201816,6,50,0,2018,2,4
5795,20-04-18,5:30,Kisii,shuttle,11,1,2018-04-20 05:30:00,4,110,20,201816,5,30,0,2018,2,4
5796,20-04-18,6:40,Kisii,shuttle,11,2,2018-04-20 06:40:00,4,110,20,201816,6,40,0,2018,2,4
5797,27-11-17,7:06,Keroka,Bus,49,3,2017-11-27 07:06:00,0,331,27,201748,7,6,0,2017,4,11
5798,20-04-18,9:10,Kisii,shuttle,11,1,2018-04-20 09:10:00,4,110,20,201816,9,10,0,2018,2,4
5800,19-04-18,5:00,Kisii,shuttle,11,2,2018-04-19 05:00:00,3,109,19,201816,5,0,0,2018,2,4
5801,19-04-18,5:20,Kisii,shuttle,11,11,2018-04-19 05:20:00,3,109,19,201816,5,20,0,2018,2,4
5802,27-11-17,10:52,Keroka,shuttle,11,3,2017-11-27 10:52:00,0,331,27,201748,10,52,0,2017,4,11
5803,19-04-18,5:10,Kisii,shuttle,11,11,2018-04-19 05:10:00,3,109,19,201816,5,10,0,2018,2,4
5804,27-11-17,10:50,Keroka,shuttle,11,1,2017-11-27 10:50:00,0,331,27,201748,10,50,0,2017,4,11
5808,19-04-18,7:06,Kisii,Bus,49,2,2018-04-19 07:06:00,3,109,19,201816,7,6,0,2018,2,4
5809,19-04-18,10:51,Kisii,shuttle,11,1,2018-04-19 10:51:00,3,109,19,201816,10,51,0,2018,2,4
5810,19-04-18,7:15,Kisii,shuttle,11,1,2018-04-19 07:15:00,3,109,19,201816,7,15,0,2018,2,4
5811,19-04-18,8:20,Kisii,shuttle,11,1,2018-04-19 08:20:00,3,109,19,201816,8,20,0,2018,2,4
5812,19-04-18,5:30,Kisii,shuttle,11,1,2018-04-19 05:30:00,3,109,19,201816,5,30,0,2018,2,4
5816,18-04-18,5:10,Kisii,shuttle,11,1,2018-04-18 05:10:00,2,108,18,201816,5,10,0,2018,2,4
5817,18-04-18,5:00,Kisii,shuttle,11,1,2018-04-18 05:00:00,2,108,18,201816,5,0,0,2018,2,4
5822,18-04-18,7:06,Kisii,Bus,49,1,2018-04-18 07:06:00,2,108,18,201816,7,6,0,2018,2,4
5823,18-04-18,6:40,Kisii,shuttle,11,2,2018-04-18 06:40:00,2,108,18,201816,6,40,0,2018,2,4
5824,18-04-18,8:20,Kisii,shuttle,11,1,2018-04-18 08:20:00,2,108,18,201816,8,20,0,2018,2,4
5825,18-04-18,19:03,Kisii,Bus,49,1,2018-04-18 19:03:00,2,108,18,201816,19,3,0,2018,2,4
5826,18-04-18,5:30,Kisii,shuttle,11,1,2018-04-18 05:30:00,2,108,18,201816,5,30,0,2018,2,4
5830,17-04-18,5:20,Kisii,shuttle,11,1,2018-04-17 05:20:00,1,107,17,201816,5,20,0,2018,2,4
5834,17-04-18,7:02,Kisii,Bus,49,1,2018-04-17 07:02:00,1,107,17,201816,7,2,0,2018,2,4
5835,17-04-18,6:40,Kisii,shuttle,11,2,2018-04-17 06:40:00,1,107,17,201816,6,40,0,2018,2,4
5836,17-04-18,6:50,Kisii,shuttle,11,1,2018-04-17 06:50:00,1,107,17,201816,6,50,0,2018,2,4
5837,17-04-18,7:06,Kisii,Bus,49,1,2018-04-17 07:06:00,1,107,17,201816,7,6,0,2018,2,4
5838,17-04-18,6:30,Kisii,shuttle,11,1,2018-04-17 06:30:00,1,107,17,201816,6,30,0,2018,2,4
5839,17-04-18,7:20,Kisii,shuttle,11,1,2018-04-17 07:20:00,1,107,17,201816,7,20,0,2018,2,4
